first_name, last_name, email        , gender     , Credit_Card, card_type                , money     , bank_name                                                                                                         , occupation                          , race                                             , university                                                                          , latitude, longtidue   , Country                         , street_address
*         , *        , ****@****.com, Female     , *          , jcb                      , $983002.34, BNP Paribas                                                                                                       , Programmer Analyst I                , Potawatomi                                       , North Ossetian State University                                                     , 43.4    , 44.1971438  , Russia                          , *
*         , *        , ****@****.com, Female     , *          , jcb                      , $808393.83, CAPITAL ONE                                                                                                       , Librarian                           , Yakama                                           , Universitas Lambung Mangkurat                                                       , -7.8    , 112.1579249 , Indonesia                       , *
*         , *        , ****@****.gov, Female     , *          , bankcard                 , $412622.82, Caisse régionale de crédit agricole mutuel de la Touraine et du Poitou                                            , Software Engineer I                 , Cuban                                            , Heilongjiang August 1st Reclamation University                                      , 37.6    , 116.391507  , China                           , *
*         , *        , ****@****.com, Male       , *          , china-unionpay           , $259978.99, UAB SME Bank                                                                                                      , Nuclear Power Engineer              , Choctaw                                          , University of Montenegro                                                            , 43.2    , 19.1226018  , Montenegro                      , *
*         , *        , ****@****.net, Non-binary , *          , jcb                      , $222507.97, FIRST FINANCIAL BANK                                                                                              , Nurse                               , Sri Lankan                                       , Arlington Baptist College                                                           , 39.3    , -94.7195096 , United States                   , *
*         , *        , ****@****.com, Female     , *          , mastercard               , $450082.09, ECCM Bank plc                                                                                                     , Research Associate                  , Native Hawaiian and Other Pacific Islander (NHPI), "Music Academy ""Karol Lipinski"" in Wroclaw"                                       , 53.5    , 15.8138245  , Poland                          , *
*         , *        , ****@****.com, Female     , *          , mastercard               , $533414.19, FIRST NATIONAL BANK                                                                                               , Human Resources Manager             , Honduran                                         , Universidad Metropolitana de Honduras                                               , 14.4    , -87.0873978 , Honduras                        , *
*         , *        , ****@****.int, Female     , *          , jcb                      , $956577.82, CITIZENS NATIONAL BANK                                                                                            , Web Developer I                     , Native Hawaiian                                  , École Nationale Supérieure d'Ingénieurs de Constructions Aéronautiques              , 46.7    , -1.4517985  , France                          , *
*         , *        , ****@****.com, Female     , *          , jcb                      , $426377.00, Łódzki Bank Spółdzielczy                                                                                          , GIS Technical Architect             , Paraguayan                                       , Hanoi University of Science                                                         , 10.7    , 107.7991545 , Vietnam                         , *
*         , *        , ****@****.org, Female     , *          , jcb                      , $351315.28, BANK OF AMERICA                                                                                                   , Financial Advisor                   , Alaskan Athabascan                               , Université de Bangui                                                                , 3.9     , 17.9828138  , Central African Republic        , *
*         , *        , ****@****.edu, Male       , *          , diners-club-carte-blanche, $900271.56, FARMERS STATE BANK                                                                                                , Desktop Support Technician          , American Indian and Alaska Native (AIAN)         , Stockholm University                                                                , 60.1    , 14.3822323  , Sweden                          , *
*         , *        , ****@****.com, Male       , *          , diners-club-carte-blanche, $127999.00, SECURITY BANK                                                                                                     , Occupational Therapist              , Chickasaw                                        , University of the South Pacific                                                     , -17.8   , 177.4356227 , Fiji                            , *
*         , *        , ****@****.com, Female     , *          , visa                     , $539108.26, PNC BANK                                                                                                          , Structural Engineer                 , Houma                                            , Technological Education Institute of Lamia                                          , 37.9    , 21.2374124  , Greece                          , *
*         , *        , ****@****.org, Male       , *          , bankcard                 , $143602.08, BNP Paribas Bank Polska S.A.                                                                                      , Geologist IV                        , Eskimo                                           , China Medical University Shenyang                                                   , 31.9    , 120.284938  , China                           , *
*         , *        , ****@****.ru , Female     , *          , jcb                      , $35804.66 , FIRST CITIZENS BANK & TRUST COMPANY                                                                               , Financial Advisor                   , Cheyenne                                         , Universidad Libre de Costa Rica                                                     , 9.9     , -84.1014639 , Costa Rica                      , *
*         , *        , ****@****.com, Female     , *          , jcb                      , $878187.58, Hewlett-Packard International Bank Designated Activity Company                                                    , Accountant III                      , Panamanian                                       , Northeastern University                                                             , 30.5    , 112.8915932 , China                           , *
*         , *        , ****@****.com, Female     , *          , solo                     , $343150.13, FIRST FINANCIAL BANK                                                                                              , Programmer II                       , Yakama                                           , Iact College                                                                        , 2.9     , 101.6259842 , Malaysia                        , *
*         , *        , ****@****.com, Female     , *          , jcb                      , $780189.27, WELLS FARGO BANK                                                                                                  , Programmer Analyst IV               , Micronesian                                      , Shanghai International Studies University                                           , 30.6    , 104.066801  , China                           , *
*         , *        , ****@****.org, Male       , *          , jcb                      , $108112.25, Raiffeisenbank Wüstenselbitz eG                                                                                   , Web Designer III                    , Native Hawaiian and Other Pacific Islander (NHPI), Royal lnstitute of Technology                                                       , 59.4    , 17.9194345  , Sweden                          , *
*         , *        , ****@****.com, Female     , *          , diners-club-carte-blanche, $768759.08, HABIB BANK LIMITED                                                                                                , Design Engineer                     , Peruvian                                         , South University of Science and Technology of China                                 , 39.7    , 116.669972  , China                           , *
*         , *        , ****@****.cn , Female     , *          , jcb                      , $362335.72, PEOPLES BANK                                                                                                      , Programmer Analyst III              , Delaware                                         , Hanoi Medical University                                                            , 16.4    , 107.5623501 , Vietnam                         , *
*         , *        , ****@****.cn , Female     , *          , diners-club-carte-blanche, $968128.12, CASSA RAIFFEISEN BASSA VALL'ISARCO SOCIETA' COOPERATIVA (IN TEDESCO RAIFFEISENKASSE UNTEREISACKTAL GENOSSENSCHAFT), Developer II                        , Venezuelan                                       , Cape Peninsula University of Technology                                             , -34.1   , 18.470633   , South Africa                    , *
*         , *        , ****@****.org, Male       , *          , jcb                      , $82371.69 , Sparkasse Münsterland Ost                                                                                         , Compensation Analyst                , Spaniard                                         , Universitas Kristen Duta Wacana                                                     , -6.8    , 111.3545546 , Indonesia                       , *
*         , *        , ****@****.org, Polygender , *          , mastercard               , $743606.26, M & T BANK                                                                                                        , Speech Pathologist                  , Ecuadorian                                       , Kampala University                                                                  , 1.2     , 34.2866091  , Uganda                          , *
*         , *        , ****@****.org, Female     , *          , jcb                      , $820713.61, BANCO BPM SOCIETA' PER AZIONI                                                                                     , Account Executive                   , Hmong                                            , "Universitas Pembangunan Nasional ""Veteran"" East Java"                            , -7.3    , 112.6347636 , Indonesia                       , *
*         , *        , ****@****.jp , Female     , *          , jcb                      , $12744.59 , COMPASS BANK                                                                                                      , Structural Engineer                 , Pakistani                                        , "Islamic Azad University, Mahshar"                                                  , -12.2   , 44.3514414  , Comoros                         , *
*         , *        , ****@****.com, Female     , *          , jcb                      , $891547.33, PRIMACASSA - CREDITO COOPERATIVO FVG - SOCIETA' COOPERATIVA                                                       , Geological Engineer                 , Micronesian                                      , Universitas Yarsi                                                                   , -7.1    , 109.0869316 , Indonesia                       , *
*         , *        , ****@****.com, Female     , *          , mastercard               , $700890.14, Larkhill and District Credit Union Limited                                                                        , Accounting Assistant IV             , Mexican                                          , Universitas Airlangga                                                               , 1.3     , 124.7851264 , Indonesia                       , *
*         , *        , ****@****.jp , Female     , *          , diners-club-carte-blanche, $721480.88, EAST WEST BANK                                                                                                    , Software Engineer I                 , Tohono O'Odham                                   , Chongqing Normal University                                                         , 28.9    , 89.94036    , China                           , *
*         , *        , ****@****.net, Male       , *          , jcb                      , $359017.15, COMMUNITY BANK                                                                                                    , Account Executive                   , Pima                                             , Universitas Swadaya Gunung Djati                                                    , -0.8    , 113.921327  , Indonesia                       , *
*         , *        , ****@****.edu, Agender    , *          , jcb                      , $879053.77, GREAT WESTERN BANK                                                                                                , Recruiter                           , Cree                                             , Svey Reong University                                                               , 14.2    , 103.5899733 , Cambodia                        , *
*         , *        , ****@****.cn , Female     , *          , mastercard               , $894814.67, Raiffeisenbank Hengersberg- Schöllnach eG                                                                         , Electrical Engineer                 , Polynesian                                       , Universidad de Aquino Bolivia                                                       , -17.8   , -57.776161  , Bolivia                         , *
*         , *        , ****@****.com, Female     , *          , jcb                      , $336594.71, US BANK                                                                                                           , Human Resources Assistant II        , Ute                                              , University of Texas at Austin                                                       , 40.3    , -76.8836261 , United States                   , *
*         , *        , ****@****.com, Female     , *          , laser                    , $789141.13, Deutsche Bank Luxembourg S.A.                                                                                     , Account Executive                   , American Indian and Alaska Native (AIAN)         , Universitas Ibn Khaldun Bogor                                                       , -2.6    , 140.470795  , Indonesia                       , *
*         , *        , ****@****.mil, Male       , *          , maestro                  , $437417.25, UMPQUA BANK                                                                                                       , Senior Sales Associate              , Kiowa                                            , Caritas University                                                                  , 12.0    , 13.9172992  , Nigeria                         , *
*         , *        , ****@****.com, Female     , *          , laser                    , $669173.44, WELLS FARGO BANK                                                                                                  , Help Desk Operator                  , Chamorro                                         , Tomas Bata University in Zlin                                                       , 49.9    , 16.2979279  , Czech Republic                  , *
*         , *        , ****@****.uk , Female     , *          , jcb                      , $844874.07, CRÉDIT AGRICOLE ITALIA S.P.A.                                                                                     , Financial Advisor                   , Shoshone                                         , Warnborough University                                                              , 51.5    , -1.7880953  , United Kingdom                  , *
*         , *        , ****@****.cn , Female     , *          , jcb                      , $925887.20, KEY BANK                                                                                                          , GIS Technical Architect             , Choctaw                                          , Universidade Federal de São Paulo                                                   , -22.2   , -46.805914  , Brazil                          , *
*         , *        , ****@****.net, Female     , *          , jcb                      , $818703.78, CITIZENS BANK                                                                                                     , Actuary                             , Thai                                             , University of Dhaka                                                                 , 23.8    , 90.4125181  , Bangladesh                      , *
*         , *        , ****@****.gov, Male       , *          , jcb                      , $365061.86, BANCA DI CREDITO COOPERATIVO VICENTINO - POJANA MAGGIORE (VICENZA) - SOCIETA' COOPERATIVA                         , General Manager                     , Indonesian                                       , China Medical University Shenyang                                                   , 28.6    , 121.365123  , China                           , *
*         , *        , ****@****.jp , Male       , *          , jcb                      , $886779.09, BANCA IFIGEST - S.P.A.                                                                                            , Operator                            , Laotian                                          , Universitas Katolik Widya Karya                                                     , -8.7    , 118.0771515 , Indonesia                       , *
*         , *        , ****@****.com, Female     , *          , diners-club-enroute      , $538772.89, Raiffeisenbank Region Fürstenfeld eGen                                                                            , Desktop Support Technician          , Colville                                         , Chongqing University of Technology                                                  , 23.7    , 120.960515  , China                           , *
*         , *        , ****@****.com, Female     , *          , jcb                      , $249205.08, Kreissparkasse Verden                                                                                             , VP Accounting                       , Hmong                                            , University of Jan Evangelista Purkyne                                               , 50.7    , 13.9418552  , Czech Republic                  , *
*         , *        , ****@****.com, Male       , *          , solo                     , $417406.07, BANK OF AMERICA                                                                                                   , Senior Developer                    , Central American                                 , "St. Petersburg State University of Information Technologies, Mechanics and Optics" , 55.9    , 37.315783   , Russia                          , *
*         , *        , ****@****.com, Female     , *          , diners-club-carte-blanche, $556463.30, Volksbank Wißmar eG                                                                                               , Accounting Assistant I              , Comanche                                         , Shandong Normal University                                                          , 21.9    , 110.853299  , China                           , *
*         , *        , ****@****.com, Male       , *          , jcb                      , $319403.48, FIRSTBANK                                                                                                         , Office Assistant I                  , Guatemalan                                       , Hebei United University                                                             , 27.0    , 106.452907  , China                           , *
*         , *        , ****@****.io , Female     , *          , mastercard               , $695452.42, REGIONS BANK                                                                                                      , Programmer II                       , South American                                   , Kanagawa Dental College                                                             , 38.1    , 140.2633467 , Japan                           , *
*         , *        , ****@****.com, Female     , *          , laser                    , $625640.49, COMMUNITY BANK                                                                                                    , General Manager                     , Ottawa                                           , Universidad de Costa Rica                                                           , 9.4     , -83.7145811 , Costa Rica                      , *
*         , *        , ****@****.com, Female     , *          , visa-electron            , $162331.78, Herner Sparkasse                                                                                                  , Data Coordinator                    , Guamanian                                        , Kobe University of Mercantile Marine                                                , 36.1    , 139.2101113 , Japan                           , *
*         , *        , ****@****.de , Male       , *          , maestro                  , $347367.56, CHEMICAL BANK                                                                                                     , Computer Systems Analyst I          , Cuban                                            , Baltic International Academy                                                        , 56.9    , 24.0317249  , Latvia                          , *
*         , *        , ****@****.com, Agender    , *          , jcb                      , $114165.52, Raiffeisenbank eG                                                                                                 , Recruiter                           , Aleut                                            , University of the City of Manila                                                    , 14.4    , 121.0504535 , Philippines                     , *
*         , *        , ****@****.com, Female     , *          , jcb                      , $814078.12, IBERIABANK                                                                                                        , Senior Editor                       , Tlingit-Haida                                    , Karelian State Pedagogical University                                               , 59.8    , 30.5550816  , Russia                          , *
*         , *        , ****@****.hk , Female     , *          , diners-club-enroute      , $831348.04, S & T BANK                                                                                                        , Programmer IV                       , Sri Lankan                                       , Universidade Vale do Rio Doce                                                       , -23.9   , -46.8486857 , Brazil                          , *
*         , *        , ****@****.gov, Female     , *          , laser                    , $49236.09 , Šilalės kredito unija                                                                                             , Office Assistant IV                 , Dominican (Dominican Republic)                   , University of the Philippines Diliman                                               , 12.4    , 121.990643  , Philippines                     , *
*         , *        , ****@****.uk , Male       , *          , diners-club-enroute      , $934301.23, State Bank of India                                                                                               , Associate Professor                 , Shoshone                                         , Ulyanovsk Higher School of Civil Aviation                                           , 55.4    , 38.3673637  , Russia                          , *
*         , *        , ****@****.com, Female     , *          , americanexpress          , $651551.51, BANCA NAZIONALE DEL LAVORO S.P.A. (IN FORMA CONTRATTA BNL S.P.A.)                                                 , Civil Engineer                      , Japanese                                         , Tay Nguyen University                                                               , 22.1    , 106.615868  , Vietnam                         , *
*         , *        , ****@****.jp , Male       , *          , jcb                      , $833011.24, FIRST NATIONAL BANK                                                                                               , Environmental Specialist            , Indonesian                                       , University of Northern Philippines                                                  , 17.8    , 121.7333298 , Philippines                     , *
*         , *        , ****@****.gov, Female     , *          , jcb                      , $880930.28, HSBC BANK                                                                                                         , Financial Analyst                   , Navajo                                           , Tansian University                                                                  , 8.1     , 12.040412   , Nigeria                         , *
*         , *        , ****@****.com, Male       , *          , jcb                      , $550375.59, BYLINE BANK                                                                                                       , Environmental Tech                  , Micronesian                                      , Kaluga State Pedagogical University                                                 , 55.6    , 43.763221   , Russia                          , *
*         , *        , ****@****.com, Male       , *          , mastercard               , $159665.47, WELLS FARGO BANK                                                                                                  , Safety Technician III               , Cuban                                            , Instituto Politécnico de Beja                                                       , 41.1    , -7.9287227  , Portugal                        , *
*         , *        , ****@****.com, Male       , *          , diners-club-carte-blanche, $495576.35, CITIZENS STATE BANK                                                                                               , Assistant Professor                 , Potawatomi                                       , Ecole Supérieure de Commerce de Bordeaux                                            , 48.5    , -2.7383235  , France                          , *
*         , *        , ****@****.edu, Bigender   , *          , china-unionpay           , $422648.39, CAPITAL BANK                                                                                                      , Financial Advisor                   , Samoan                                           , Prague Institute of Chemical Technology                                             , 49.9    , 18.0123649  , Czech Republic                  , *
*         , *        , ****@****.com, Male       , *          , jcb                      , $86069.20 , Raiffeisenbank Ichenhausen eG                                                                                     , Health Coach IV                     , Native Hawaiian                                  , Bryan College                                                                       , 34.0    , -118.07     , United States                   , *
*         , *        , ****@****.com, Female     , *          , jcb                      , $234182.05, FIRST MIDWEST BANK                                                                                                , Nurse Practicioner                  , White                                            , University of the Immaculate Conception                                             , 14.6    , 121.05079   , Philippines                     , *
*         , *        , ****@****.com, Female     , *          , jcb                      , $423034.05, Lombard Odier (Europe) S.A.                                                                                       , Sales Representative                , Kiowa                                            , Ateneo de Naga University                                                           , 12.1    , 123.7223625 , Philippines                     , *
*         , *        , ****@****.com, Female     , *          , americanexpress          , $558126.77, WESBANCO BANK INC                                                                                                 , Financial Analyst                   , Costa Rican                                      , Universitas Darma Agung                                                             , -7.1    , 113.6886    , Indonesia                       , *
*         , *        , ****@****.com, Female     , *          , mastercard               , $653951.25, CHEMICAL BANK                                                                                                     , Programmer Analyst II               , Chilean                                          , Shonan Institute of Technology                                                      , 39.0    , 139.9181485 , Japan                           , *
*         , *        , ****@****.com, Female     , *          , china-unionpay           , $732113.13, FIRST BANK                                                                                                        , Marketing Assistant                 , Chilean                                          , Yarmouk Private University                                                          , 35.2    , 37.2089056  , Syria                           , *
*         , *        , ****@****.com, Male       , *          , jcb                      , $141676.15, BANCO BPM SOCIETA' PER AZIONI                                                                                     , Editor                              , Taiwanese                                        , Turku School of Economics and Business Administration                               , 62.3    , 28.2513674  , Finland                         , *
*         , *        , ****@****.jp , Bigender   , *          , jcb                      , $396751.13, SPARKASSE VORDERPFALZ LUDWIGSHAFEN A. RH.-SCHIFFERSTADT                                                           , Research Nurse                      , Vietnamese                                       , Universidad Cooperativa de Colombia                                                 , 9.2     , -74.1474846 , Colombia                        , *
*         , *        , ****@****.com, Male       , *          , visa-electron            , $59920.65 , Finamur                                                                                                           , Engineer III                        , South American                                   , "Fachhochschule Mannheim, Hochschule für Technik und Gestaltung"                    , 53.5    , 9.9778279   , Germany                         , *
*         , *        , ****@****.cn , Female     , *          , americanexpress          , $927789.43, Raiffeisenbank Gilching eG                                                                                        , Programmer Analyst IV               , Nicaraguan                                       , Southwestern University                                                             , 10.0    , 122.750324  , Philippines                     , *
*         , *        , ****@****.net, Male       , *          , china-unionpay           , $687857.98, SECURITY BANK                                                                                                     , Accounting Assistant II             , Native Hawaiian                                  , Don State Agrarian University                                                       , 55.2    , 61.3396043  , Russia                          , *
*         , *        , ****@****.com, Male       , *          , jcb                      , $916895.21, BANCO BPM SOCIETA' PER AZIONI                                                                                     , Sales Representative                , Samoan                                           , Fundacion Escuela Colombiana de Rehabiliación                                       , 4.8     , -72.9899505 , Colombia                        , *
*         , *        , ****@****.org, Bigender   , *          , jcb                      , $319947.05, COMMUNITY FIRST BANK                                                                                              , Tax Accountant                      , Guatemalan                                       , Universitas Trilogi                                                                 , -8.9    , 121.3064286 , Indonesia                       , *
*         , *        , ****@****.edu, Male       , *          , bankcard                 , $450027.04, PARK NATIONAL BANK                                                                                                , Registered Nurse                    , Ottawa                                           , Instituto Piaget                                                                    , 41.3    , -8.2519171  , Portugal                        , *
*         , *        , ****@****.cz , Agender    , *          , switch                   , $320941.42, BANCO BPM SOCIETA' PER AZIONI                                                                                     , Executive Secretary                 , Choctaw                                          , University of Saint La Salle                                                        , 10.6    , 122.955299  , Philippines                     , *
*         , *        , ****@****.org, Female     , *          , jcb                      , $561903.95, PSD Bank Rhein-Ruhr eG                                                                                            , Structural Analysis Engineer        , Choctaw                                          , Universidad Católica del Oriente                                                    , 6.1     , -75.502582  , Colombia                        , *
*         , *        , ****@****.com, Polygender , *          , bankcard                 , $163293.38, Raiffeisen-Volksbank Ebersberg eG                                                                                 , Business Systems Development Analyst, Indonesian                                       , Universidad Nacional del Sur                                                        , -26.7   , -65.2739038 , Argentina                       , *
*         , *        , ****@****.uk , Male       , *          , bankcard                 , $756172.67, COMPASS BANK                                                                                                      , Chemical Engineer                   , Guamanian                                        , Tomball College                                                                     , 34.0    , -118.07     , United States                   , *
*         , *        , ****@****.com, Male       , *          , jcb                      , $640140.39, FRØRUP ANDELSKASSE                                                                                                , Biostatistician II                  , Taiwanese                                        , Universidad Especializada de Las Americas                                           , 8.7     , -82.4969331 , Panama                          , *
*         , *        , ****@****.jp , Female     , *          , americanexpress          , $59852.15 , Spar- und Kreditbank des Bundes Freier evangelischer Gemeinden eG                                                 , VP Quality Control                  , Houma                                            , Universitas Simalungun                                                              , -8.7    , 121.7445    , Indonesia                       , *
*         , *        , ****@****.me , Female     , *          , americanexpress          , $161372.66, COMMERZBANK Aktiengesellschaft                                                                                    , Project Manager                     , Puget Sound Salish                               , Sun Yat-Sen University of Medical Sciences                                          , 38.2    , 77.215838   , China                           , *
*         , *        , ****@****.com, Male       , *          , jcb                      , $153271.62, Mizuho Bank Europe N.V.                                                                                           , Professor                           , Venezuelan                                       , Luxun Academy of Fine Art                                                           , 28.0    , 111.804777  , China                           , *
*         , *        , ****@****.org, Female     , *          , switch                   , $464602.58, BANCORPSOUTH                                                                                                      , Account Executive                   , Melanesian                                       , "Academy of Performing Arts, Film and TV Fakulty"                                   , 49.7    , 15.9920641  , Czech Republic                  , *
*         , *        , ****@****.edu, Male       , *          , solo                     , $9256.30  , COMMERCE BANK                                                                                                     , Systems Administrator II            , Ottawa                                           , Universitas Katolik Indonesia Atma Jaya                                             , -7.2    , 113.34663   , Indonesia                       , *
*         , *        , ****@****.com, Male       , *          , visa                     , $374132.04, GLACIER BANK                                                                                                      , Research Nurse                      , Yakama                                           , Tampere Polytechnic                                                                 , 60.8    , 26.7869193  , Finland                         , *
*         , *        , ****@****.com, Female     , *          , switch                   , $907607.96, EASTERN BANK                                                                                                      , Database Administrator II           , Filipino                                         , Bryant and Stratton College                                                         , 34.8    , -92.324251  , United States                   , *
*         , *        , ****@****.com, Female     , *          , jcb                      , $771437.27, SECURITY BANK                                                                                                     , Marketing Manager                   , Comanche                                         , Universitas Mahendradatta                                                           , -8.3    , 114.2524236 , Indonesia                       , *
*         , *        , ****@****.com, Female     , *          , maestro                  , $47625.28 , OTP Bank Nyrt.                                                                                                    , Systems Administrator I             , Cherokee                                         , Arellano University                                                                 , 11.5    , 122.7807    , Philippines                     , *
*         , *        , ****@****.com, Female     , *          , americanexpress          , $437820.78, FARMERS STATE BANK                                                                                                , Legal Assistant                     , Guatemalan                                       , Universidad del Cono Sur de las Américas                                            , -26.7   , -57.1407852 , Paraguay                        , *
*         , *        , ****@****.com, Male       , *          , diners-club-enroute      , $436166.30, FIRST NATIONAL BANK                                                                                               , Food Chemist                        , Ecuadorian                                       , Shanghai University of Engineering Science                                          , 34.2    , 109.386682  , China                           , *
*         , *        , ****@****.com, Bigender   , *          , jcb                      , $930799.04, KEY BANK                                                                                                          , Civil Engineer                      , Tlingit-Haida                                    , South-East Asia University                                                          , 13.6    , 100.8512816 , Thailand                        , *
*         , *        , ****@****.ly , Female     , *          , diners-club-enroute      , $911799.59, Sparkasse Kinzigtal                                                                                               , Account Representative II           , Blackfeet                                        , Chongqing Wenli University                                                          , 29.0    , 116.762907  , China                           , *
*         , *        , ****@****.net, Female     , *          , mastercard               , $940383.40, UNITED BANK                                                                                                       , General Manager                     , Nicaraguan                                       , Zhejiang University of Technology                                                   , 43.7    , 122.243444  , China                           , *
*         , *        , ****@****.org, Male       , *          , laser                    , $896580.29, REGIONS BANK                                                                                                      , VP Product Management               , Seminole                                         , Catholic University in Zimbabwe                                                     , -18.1   , 29.8554841  , Zimbabwe                        , *
*         , *        , ****@****.cn , Female     , *          , jcb                      , $375403.60, FIRST NATIONAL BANK                                                                                               , Product Engineer                    , South American                                   , Universitas Hasanuddin                                                              , -7.4    , 112.7688416 , Indonesia                       , *
*         , *        , ****@****.edu, Male       , *          , jcb                      , $624811.63, KEY BANK                                                                                                          , General Manager                     , Tongan                                           , Universitas Airlangga                                                               , -9.9    , 124.5707    , Indonesia                       , *
*         , *        , ****@****.com, Female     , *          , maestro                  , $281360.19, BANK OF AMERICA                                                                                                   , Nuclear Power Engineer              , Chilean                                          , Al-Quds University - The Arab University in Jerusalem                               , 32.2    , 35.3736237  , Palestinian Territory           , *
*         , *        , ****@****.com, Male       , *          , jcb                      , $470243.09, Bank of China (Europe) S.A                                                                                        , Clinical Specialist                 , Mexican                                          , Northeast Normal University                                                         , 31.0    , 117.23282   , China                           , *
